region,record_type,revenue
Béni Mellal-Khénifra,voice,1.1570000000000003
Béni Mellal-Khénifra,data,594.81598
Béni Mellal-Khénifra,sms,0.22000000000000003
Casablanca-Settat,sms,0.0
Casablanca-Settat,data,760.89104
Casablanca-Settat,voice,2.1240000000000006
Dakhla-Oued Ed Dahab,sms,0.375
Dakhla-Oued Ed Dahab,voice,1.51
Dakhla-Oued Ed Dahab,data,586.7372899999999
Drâa-Tafilalet,voice,2.334
Drâa-Tafilalet,data,436.24296
Drâa-Tafilalet,sms,0.07
Fès-Meknès,data,539.29655
Fès-Meknès,voice,1.229
Fès-Meknès,sms,0.135
Guelmim-Oued Noun,data,615.24083
Guelmim-Oued Noun,voice,1.118
Guelmim-Oued Noun,sms,0.07
L'Oriental,sms,0.08
L'Oriental,voice,2.1790000000000003
L'Oriental,data,599.7379999999999
Laâyoune-Sakia El Hamra,sms,0.08
Laâyoune-Sakia El Hamra,voice,1.1260000000000001
Laâyoune-Sakia El Hamra,data,632.70034
Marrakech-Safi,data,541.9009599999999
Marrakech-Safi,sms,0.0
Marrakech-Safi,voice,0.8790000000000002
Rabat-Salé-Kénitra,sms,0.28
Rabat-Salé-Kénitra,voice,1.633000000000001
Rabat-Salé-Kénitra,data,945.6868000000001
Souss-Massa,sms,0.28
Souss-Massa,voice,1.726
Souss-Massa,data,294.73935
Tanger-Tétouan-Al Hoceima,voice,2.116
Tanger-Tétouan-Al Hoceima,data,368.17641000000003
Tanger-Tétouan-Al Hoceima,sms,0.2
