region,rate_plan_id,revenue_TTC
Béni Mellal-Khénifra,PLAN_B,288.465087
Béni Mellal-Khénifra,PLAN_C,229.0735152
Béni Mellal-Khénifra,PLAN_A,162.12139499999998
Casablanca-Settat,PLAN_A,379.8478859999999
Casablanca-Settat,PLAN_B,290.4718632
Casablanca-Settat,PLAN_C,199.5173964
Dakhla-Oued Ed Dahab,PLAN_A,235.21220999999997
Dakhla-Oued Ed Dahab,PLAN_B,227.165064
Dakhla-Oued Ed Dahab,PLAN_C,208.65213660000003
Drâa-Tafilalet,PLAN_A,325.5589769999999
Drâa-Tafilalet,PLAN_C,100.93107419999998
Drâa-Tafilalet,PLAN_B,73.5674832
Fès-Meknès,PLAN_B,227.6848584
Fès-Meknès,PLAN_C,205.88877659999997
Fès-Meknès,PLAN_A,182.77939199999997
Guelmim-Oued Noun,PLAN_B,331.7684886
Guelmim-Oued Noun,PLAN_A,199.521831
Guelmim-Oued Noun,PLAN_C,171.43854659999997
L'Oriental,PLAN_A,281.9128229999999
L'Oriental,PLAN_C,220.37081220000002
L'Oriental,PLAN_B,183.9929448
Laâyoune-Sakia El Hamra,PLAN_A,379.483428
Laâyoune-Sakia El Hamra,PLAN_C,279.04060440000006
Laâyoune-Sakia El Hamra,PLAN_B,64.1291952
Marrakech-Safi,PLAN_B,257.15800799999994
Marrakech-Safi,PLAN_A,243.85979399999997
Marrakech-Safi,PLAN_C,117.7513524
Rabat-Salé-Kénitra,PLAN_B,468.2956068
Rabat-Salé-Kénitra,PLAN_A,352.8917310000001
Rabat-Salé-Kénitra,PLAN_C,259.07643419999994
Souss-Massa,PLAN_A,173.560383
Souss-Massa,PLAN_C,106.23557399999999
Souss-Massa,PLAN_B,58.493742
Tanger-Tétouan-Al Hoceima,PLAN_A,164.39045099999998
Tanger-Tétouan-Al Hoceima,PLAN_C,164.16141359999997
Tanger-Tétouan-Al Hoceima,PLAN_B,93.80948280000001
