region,rate_plan_id,revenue_TTC
Béni Mellal-Khénifra,PLAN_C,109.21400639999999
Béni Mellal-Khénifra,PLAN_B,37.6430964
Béni Mellal-Khénifra,PLAN_A,28.692660000000004
Casablanca-Settat,PLAN_A,38.497400999999996
Casablanca-Settat,PLAN_B,0.1995
Casablanca-Settat,PLAN_C,0.0
Dakhla-Oued Ed Dahab,PLAN_C,0.020519999999999997
Dakhla-Oued Ed Dahab,PLAN_A,0.0114
Dakhla-Oued Ed Dahab,PLAN_B,0.0
Drâa-Tafilalet,PLAN_A,126.510018
Drâa-Tafilalet,PLAN_C,14.9789844
Drâa-Tafilalet,PLAN_B,0.04104
Fès-Meknès,PLAN_C,34.06915079999999
Fès-Meknès,PLAN_A,0.1824
Fès-Meknès,PLAN_B,0.054720000000000005
Guelmim-Oued Noun,PLAN_A,42.885659999999994
Guelmim-Oued Noun,PLAN_B,0.59622
Guelmim-Oued Noun,PLAN_C,0.0
L'Oriental,PLAN_C,58.2517656
L'Oriental,PLAN_A,0.2052
L'Oriental,PLAN_B,0.07980000000000001
Laâyoune-Sakia El Hamra,PLAN_B,70.1908944
Laâyoune-Sakia El Hamra,PLAN_A,6.0905640000000005
Laâyoune-Sakia El Hamra,PLAN_C,0.25878
Marrakech-Safi,PLAN_B,86.34097799999998
Marrakech-Safi,PLAN_C,17.069562
Marrakech-Safi,PLAN_A,0.1596
Rabat-Salé-Kénitra,PLAN_B,31.432421999999995
Rabat-Salé-Kénitra,PLAN_A,1.5757079999999999
Rabat-Salé-Kénitra,PLAN_C,0.0
Souss-Massa,PLAN_A,36.64929000000001
Souss-Massa,PLAN_B,19.1039832
Souss-Massa,PLAN_C,0.0
Tanger-Tétouan-Al Hoceima,PLAN_B,162.55703459999998
Tanger-Tétouan-Al Hoceima,PLAN_A,69.06507599999999
Tanger-Tétouan-Al Hoceima,PLAN_C,25.939537199999997
