billing_date,hour,total_GB
2025-06-01,0,1.081
2025-06-01,1,17.913
2025-06-01,2,15.412
2025-06-01,3,14.031
2025-06-01,4,12.712
2025-06-01,5,14.545
2025-06-01,6,9.361
2025-06-01,7,10.125
2025-06-01,8,11.144
2025-06-01,9,12.972
2025-06-01,10,15.341
2025-06-01,11,12.644
2025-06-01,12,18.369
2025-06-01,13,13.686
2025-06-01,14,6.922
2025-06-01,15,10.273
2025-06-01,16,16.012
2025-06-01,17,10.884
2025-06-01,18,13.617
2025-06-01,19,19.749
2025-06-01,20,15.343
2025-06-01,21,25.794
2025-06-01,22,13.922
2025-06-01,23,11.793
2025-06-02,0,10.588
2025-06-02,1,7.059
2025-06-02,2,3.319
