region,rate_plan_id,revenue_TTC
Béni Mellal-Khénifra,PLAN_B,806.9165213999997
Béni Mellal-Khénifra,PLAN_C,461.8479264
Béni Mellal-Khénifra,PLAN_A,250.29429599999997
Casablanca-Settat,PLAN_C,741.3193823999999
Casablanca-Settat,PLAN_B,735.0999755999999
Casablanca-Settat,PLAN_A,579.5767979999998
Dakhla-Oued Ed Dahab,PLAN_A,306.225774
Dakhla-Oued Ed Dahab,PLAN_B,240.27388979999998
Dakhla-Oued Ed Dahab,PLAN_C,194.62306859999998
Drâa-Tafilalet,PLAN_A,505.4720669999999
Drâa-Tafilalet,PLAN_B,417.1554804
Drâa-Tafilalet,PLAN_C,282.3830729999999
Fès-Meknès,PLAN_C,494.0345496
Fès-Meknès,PLAN_A,340.994349
Fès-Meknès,PLAN_B,320.1294192
Guelmim-Oued Noun,PLAN_B,1214.3091557999999
Guelmim-Oued Noun,PLAN_A,566.7169140000001
Guelmim-Oued Noun,PLAN_C,492.6154433999999
L'Oriental,PLAN_A,553.062108
L'Oriental,PLAN_C,550.9203785999999
L'Oriental,PLAN_B,381.0069467999999
Laâyoune-Sakia El Hamra,PLAN_C,494.95224959999996
Laâyoune-Sakia El Hamra,PLAN_A,492.286599
Laâyoune-Sakia El Hamra,PLAN_B,312.10263359999993
Marrakech-Safi,PLAN_C,648.1150799999999
Marrakech-Safi,PLAN_A,444.562152
Marrakech-Safi,PLAN_B,324.3600617999999
Rabat-Salé-Kénitra,PLAN_B,816.4062233999997
Rabat-Salé-Kénitra,PLAN_A,592.1522520000001
Rabat-Salé-Kénitra,PLAN_C,468.54636119999986
Souss-Massa,PLAN_A,629.4640529999999
Souss-Massa,PLAN_C,598.9526940000001
Souss-Massa,PLAN_B,579.7596768
Tanger-Tétouan-Al Hoceima,PLAN_B,602.2082034
Tanger-Tétouan-Al Hoceima,PLAN_C,600.5799755999999
Tanger-Tétouan-Al Hoceima,PLAN_A,438.08079599999996
